ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Al8Zr4 [e271e75bc4d33962],112.292,-0.540368,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Al8Zr4 [e2f80048d263595c],113.067,-0.539998,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Al8Zr4 [57d95c24181ec14e],113.013,-0.540017,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Al8Zr4 [c39bb8d6a0701e63],112.922,-0.540015,194 - P63/mmc,hP12,"[API, Out, JSON ]"
As1 [a997e20f53ed2acb],84.6111,0.111626,221 - Pm3m,cP1,"[API, Out, JSON ]"
As16Mg24 [0860600e60bf426b],49.3,-0.631984,206 - Ia3,cI80,"[API, Out, JSON ]"
As16Mg24 [b70e7bcda8c39667],49.1878,-0.632046,206 - Ia3,cI80,"[API, Out, JSON ]"
As16Mg4 [f4634f69b19ef301],43.8761,-0.230809,92 - P41212,tP20,"[API, Out, JSON ]"
As1B1 [bb4427e452977ce7],132.022,-3.36665,216 - F43m,cF8,"[API, Out, JSON ]"
As1B2P1 [2a3d8ff4b637ab68],146.702,-3.56519,115 - P4m2,tP4,"[API, Out, JSON ]"
As1Ba1Li1 [bdef8ab58e76c7a6],34.2294,-0.944981,187 - P6m2,hP3,"[API, Out, JSON ]"
As1Br3Ca3 [490b50d631861556],34.4278,-1.80973,221 - Pm3m,cP7,"[API, Out, JSON ]"
As1Ca3Cl3 [d4d71d73b26b7913],37.6278,-2.01711,221 - Pm3m,cP7,"[API, Out, JSON ]"
As1Ge1 [b52900970e966f51],63.5343,0.052915,107 - I4mm,tI4,"[API, Out, JSON ]"
As1Ho1 [15deecb330c335d7],78.0944,-1.53115,225 - Fm3m,cF8,"[API, Out, JSON ]"
As1Li1Mg1 [4031522cfc844fe8],48.8778,-0.749955,216 - F43m,cF12,"[API, Out, JSON ]"
As1Na1 [e12969699a989f2c],42.4969,-0.247616,123 - P4/mmm,tP2,"[API, Out, JSON ]"
As1Na3 [e04fbc0416e04033],25.8167,-0.37965,225 - Fm3m,cF16,"[API, Out, JSON ]"
As1Te1 [4b7de1503a36bb4a],62.7889,0.098158,225 - Fm3m,cF8,"[API, Out, JSON ]"
As1Tl1 [cc780562173bd001],39.5389,0.10823,216 - F43m,cF8,"[API, Out, JSON ]"
As1Y1 [2b8d1079f7096770],76.6278,-1.55616,225 - Fm3m,cF8,"[API, Out, JSON ]"
As1Zr1 [12a3994f64b6856d],118.361,-1.07851,225 - Fm3m,cF8,"[API, Out, JSON ]"
As2Be2Na2 [f20e761d9e2bd204],45.3944,-0.395477,194 - P63/mmc,hP6,"[API, Out, JSON ]"
As2Bi2O8 [54bc53f8d5f39ed9],123.527,-1.59291,88 - I41/a,tI24,"[API, Out, JSON ]"
As2Ca1Mg2 [c316958c47445e01],50.5853,-0.948829,164 - P3m1,hP5,"[API, Out, JSON ]"
As2Ca2Rb2 [35ef9bb6ec3b52f3],21.2268,-0.854826,129 - P4/nmm,tP6,"[API, Out, JSON ]"
As2Ca4 [74656f687dd34dd0],36.9974,-0.946849,139 - I4/mmm,tI12,"[API, Out, JSON ]"
As2Hg1O6 [f932f4c3f81cf063],122.942,-1.3053,162 - P31m,hP9,"[API, Out, JSON ]"
As2Hg2K2 [075befb960a6d22f],25.7402,-0.361881,194 - P63/mmc,hP6,"[API, Out, JSON ]"
As2K2Mg2 [d42040244c5945cd],27.8327,-0.691142,129 - P4/nmm,tP6,"[API, Out, JSON ]"
As2Mg2Na2 [9e14958ed53bad27],34.5954,-0.643872,129 - P4/nmm,tP6,"[API, Out, JSON ]"
As2Na6 [2e7952639cbaba48],23.8489,-0.424105,194 - P63/mmc,hP8,"[API, Out, JSON ]"
As2Pb6Zr10 [4edef03cd560c4da],102.192,-0.524374,193 - P63/mcm,hP18,"[API, Out, JSON ]"
As2Rb6Se32 [f38425f6bc10cbcc],12.1108,-0.340033,203 - Fd3,cF160,"[API, Out, JSON ]"
As2Sb6Zr10 [8658c446cd864e8b],112.66,-0.910266,193 - P63/mcm,hP18,"[API, Out, JSON ]"
As2Sr4 [17d81543edcdd769],30.9491,-0.866938,139 - I4/mmm,tI12,"[API, Out, JSON ]"
As3Na3Sr3 [cf4537f3f53c76be],34.647,-0.878539,189 - P62m,hP9,"[API, Out, JSON ]"
As4Ge2Mg2 [a030e1a3f3efd9f6],52.4012,-0.270986,122 - I42d,tI16,"[API, Out, JSON ]"
As4Ge3 [223188a15c60fe2f],48.3037,0.00323829,215 - P43m,cP7,"[API, Out, JSON ]"
As4Hf4 [426b550514a4403c],127.466,-1.00566,194 - P63/mmc,hP8,"[API, Out, JSON ]"
As4K12Se12 [17d4f25a9a0997c1],13.5165,-0.930491,198 - P213,cP28,"[API, Out, JSON ]"
As4Mg6 [e6aeabf7626b5275],48.85,-0.466908,224 - Pn3m,cP10,"[API, Out, JSON ]"
As4Na12Se12 [a905d9de297630fa],18.794,-0.808927,198 - P213,cP28,"[API, Out, JSON ]"
As4O12Sr2 [167e874aca020acc],109.965,-2.07094,193 - P63/mcm,hP18,"[API, Out, JSON ]"
As4Zr4 [7e1e4fa3243f1866],118.449,-1.14883,194 - P63/mmc,hP8,"[API, Out, JSON ]"
As6Sr6 [4f75cb6f21c6ff12],39.5598,-1.08346,189 - P62m,hP12,"[API, Out, JSON ]"
As8Ba4Ge8 [c65eb974665e418b],43.1844,-0.50455,105 - P42mc,tP20,"[API, Out, JSON ]"
As8Hf12 [a72edbac95240550],135.013,-0.907856,62 - Pnma,oP20,"[API, Out, JSON ]"
As8Hf4 [6ab6d29cee6c5e4a],115.707,-0.758025,62 - Pnma,oP12,"[API, Out, JSON ]"
As8O12 [8f6257240271b02a],5.13889,-1.4709,227 - Fd3m,cF80,"[API, Out, JSON ]"
As8O12 [95ecf65035751e51],5.66667,-1.47021,227 - Fd3m,cF80,"[API, Out, JSON ]"
As8Si4 [89c22958395182cf],79.6275,0.0440833,205 - Pa3,cP12,"[API, Out, JSON ]"
As8Zr12 [7ad24d44b882c39c],126.639,-1.05882,62 - Pnma,oP20,"[API, Out, JSON ]"
As8Zr4 [c4644f5c0da2a257],109.262,-0.844934,62 - Pnma,oP12,"[API, Out, JSON ]"
As8Zr4 [a8f883311b07a7ae],57.6155,-0.497692,71 - Immm,oI12,"[API, Out, JSON ]"
B12Hf1 [34e06cdc51fc586a],237.2,-6.37191,225 - Fm3m,cF52,"[API, Out, JSON ]"
B12Ho1 [907f2cf21e911c3b],218.689,-6.42998,225 - Fm3m,cF52,"[API, Out, JSON ]"
B12Y1 [dcb115cc81848caa],217.678,-6.4221,225 - Fm3m,cF52,"[API, Out, JSON ]"
B12Zr1 [b8aa0d8cb9a0b8c1],231.972,-6.39056,225 - Fm3m,cF52,"[API, Out, JSON ]"
B16C16Mg8 [b3e6c35f229ee23b],157.595,-2.83087,64 - Cmce,oS80,"[API, Out, JSON ]"
B18Li2 [44d4b92478b2dfd0],199.797,-5.98763,185 - P63cm,hP20,"[API, Out, JSON ]"
B1Be2 [114d179739831b45],145.728,-2.18787,225 - Fm3m,cF12,"[API, Out, JSON ]"
B1Bi1 [39c84b928e375b7f],74.7222,-2.55551,216 - F43m,cF8,"[API, Out, JSON ]"
B1C5 [f759c5600121a9e9],376.107,-0.874631,44 - Imm2,oI12,"[API, Out, JSON ]"
B1C7 [95bd1aac30ec7a47],388.344,-0.581283,215 - P43m,cP8,"[API, Out, JSON ]"
B1C7 [0401731cb29df494],391.956,-0.647736,115 - P4m2,tP8,"[API, Out, JSON ]"
B1C7 [4d13f06b9fe563ef],385.055,-0.617825,25 - Pmm2,oP8,"[API, Out, JSON ]"
B1Hf1 [153dd3dd8e6895aa],173.528,-3.76102,225 - Fm3m,cF8,"[API, Out, JSON ]"
B1P1 [598a7a7328a47d85],161.95,-3.79813,216 - F43m,cF8,"[API, Out, JSON ]"
B1Sb1 [8f50db7084cf70ae],98.3222,-3.09346,216 - F43m,cF8,"[API, Out, JSON ]"
B1Zr1 [ed71e73c1d9d1a64],160.072,-3.72142,225 - Fm3m,cF8,"[API, Out, JSON ]"
B28 [0259d68674b800c3],223.147,-6.66565,58 - Pnnm,oP28,"[API, Out, JSON ]"
B2C2Li2 [ec2438f50fc672d8],154.076,-2.61242,194 - P63/mmc,hP6,"[API, Out, JSON ]"
B2Ca1 [bf66a2c72bbd4990],122.252,-4.59603,191 - P6/mmm,hP3,"[API, Out, JSON ]"
B2Hf1 [09457595b027e910],251.301,-5.48393,191 - P6/mmm,hP3,"[API, Out, JSON ]"
B2Mg1 [e2edff877e89347a],147.879,-4.59189,191 - P6/mmm,hP3,"[API, Out, JSON ]"
B2P2 [947725bf512a4fa0],162.387,-3.78712,186 - P63mc,hP4,"[API, Out, JSON ]"
B2Y1 [7ca6e19f28095b86],164.012,-5.02245,191 - P6/mmm,hP3,"[API, Out, JSON ]"
B2Zr1 [08bf56bf0b207b22],238.246,-5.45229,191 - P6/mmm,hP3,"[API, Out, JSON ]"
B48 [e84cd18d210591c3],156.591,-6.53958,134 - P42/nnm,tP48,"[API, Out, JSON ]"
B4C4Ca2 [31227863394cfc7f],134.682,-3.01496,140 - I4/mcm,tI20,"[API, Out, JSON ]"
B4C4Ca2 [77397d097fcfec92],130.536,-2.86494,131 - P42/mmc,tP10,"[API, Out, JSON ]"
B4C4Y2 [564419ad66d91082],171.473,-2.9776,131 - P42/mmc,tP10,"[API, Out, JSON ]"
B6Ba1 [60403665ed82b47b],143.861,-6.14502,221 - Pm3m,cP7,"[API, Out, JSON ]"
B6Ca1 [5c5618217287430a],143.478,-6.14502,221 - Pm3m,cP7,"[API, Out, JSON ]"
B6Ho1 [e0ad2ad23e4aafc4],169.761,-6.12204,221 - Pm3m,cP7,"[API, Out, JSON ]"
B6K1 [bd33403a60f88c3e],133.772,-5.76377,221 - Pm3m,cP7,"[API, Out, JSON ]"
B6Sr1 [f4874036e4939ad3],146.361,-6.18698,221 - Pm3m,cP7,"[API, Out, JSON ]"
B6Y1 [c5976272e8f2fc30],171.244,-6.13642,221 - Pm3m,cP7,"[API, Out, JSON ]"
B8Be4C8 [6975681558eb6cdc],193.66,-2.77901,59 - Pmmn,oP20,"[API, Out, JSON ]"
Ba1 [7b2394cca289b7b1],8.37778,0.017794,225 - Fm3m,cF4,"[API, Out, JSON ]"
Ba10Sb8 [a92b58c15da82969],27.7227,-1.15634,64 - Cmce,oS36,"[API, Out, JSON ]"
Ba1C2 [9aa20030aa116732],41.0331,0.0959353,139 - I4/mmm,tI6,"[API, Out, JSON ]"
Ba1Cl2 [6a9703b2d7b80183],29.2,-2.5798,225 - Fm3m,cF12,"[API, Out, JSON ]"
Ba1Hg1 [19c353e662a40130],24,-0.526864,221 - Pm3m,cP2,"[API, Out, JSON ]"
Ba1Li1P1 [72b0cd273918804e],37.4517,-0.905739,187 - P6m2,hP3,"[API, Out, JSON ]"
Ba1Li1Si1 [23e26457c91a4e11],27.5433,-0.178936,187 - P6m2,hP3,"[API, Out, JSON ]"
Ba1Mg2Si2 [1711607563cbbfd5],49.7584,-0.33683,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Ba1Mg4Si3 [5be7414fafc81b31],52.4247,-0.280098,123 - P4/mmm,tP8,"[API, Out, JSON ]"
Ba1O1 [ca2b185ba242da1e],69.0889,-2.69896,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ba1O2 [46261cca37eaf3ba],68.0023,-2.14464,139 - I4/mmm,tI6,"[API, Out, JSON ]"
Ba1O3Pb1 [279962d5dd496031],62.2,-0.863545,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ba1O3Pb1 [103754afd63d390f],99.5833,-1.93358,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ba1O3Zr1 [7ad05c2450ba8e4c],147.567,-3.49221,221 - Pm3m,cP5,"[API, Out, JSON ]"
