formula,target,enthalpy
Be1Se1,81.4222,-0.5262815000000001
Be1Te1,61.63335,-0.1034715
Be24P16,91.7833,-0.266228
Be26Ca2,94.9278,-0.09509119999999999
Be26Hf2,125.944,-0.173177
Be26Ho2,112.861,-0.18517
Be26Mg2,98.7111,0.0009033569999999999
Be26Sb2,100.27799999999999,0.14363499999999998
Be26Sr2,94.7722,-0.048016500000000004
Be26Zr2,123.939,-0.19561800000000001
Be2C1,207.489,-0.23265
Be2Hf1,128.21200000000002,-0.169047
Be2Hf2,121.15799999999999,-0.076578
Be2Hf2Si2,146.714,-0.655594
Be2Li2P2,62.7814,-0.611066
Be2Li2Sb2,55.3101,-0.325056
Be2Na2Sb2,35.177,-0.25049699999999997
Be2O2,205.99099999999999,-2.9799599999999997
Be2Si1,98.7278,0.23799099999999998
Be2Zr1,119.78200000000001,-0.16350599999999998
Be4O4,196.372,-2.96793
Be5Hf1,129.435,-0.227008
Be6Cl12,11.6333,-1.4224700000000001
Be6P4,99.75,-0.110329
Bi1,52.063900000000004,0.08533
Bi16O24,109.979,-1.4347
Bi1Ho1,54.5889,-0.861246
Bi1K3,12.2389,-0.365149
Bi1Li1,37.2932,-0.382143
Bi1Li1Mg1,31.5889,-0.428658
Bi1Li3,28.2111,-0.544817
Bi1Na1,30.3974,-0.313636
Bi1O2,132.906,-1.1886
Bi1Rb3,9.938889999999999,-0.31635599999999997
Bi1Y1,55.4333,-0.916092
Bi2Ca4,27.6617,-0.776018
Bi2K6,10.4428,-0.38748699999999997
Bi2O2Se1,77.3104,-1.1583700000000001
Bi2Rb6,9.55761,-0.344507
Bi3Sr1,44.9444,-0.452
Bi4,310.346,0.194242
Bi4K12Se12,13.2031,-0.965835
Bi4K12Te12,10.2746,-0.8011520000000001
Bi4Li4Sr4,29.9502,-0.847318
Bi4Mg2O12,120.28299999999999,-1.56009
Bi4O12Rb12,15.7753,-1.53459
Bi4O6,116.87200000000001,-1.1314
Bi4Rb12Se12,11.4072,-0.956665
Bi6Sr8,29.5333,-0.896906
Bi8O12,27.0722,-1.4375
Br10Pb4Rb2,13.3059,-1.18315
Br12K4Te2,8.85281,-1.06449
Br1K1,15.4889,-1.75429
Br1K3O1,19.2167,-1.43923
Br1Li1,26.1611,-1.56859
Br1Li3O1,48.9389,-1.78875
Br1Na1,20.5333,-1.6072899999999999
Br1O1Rb3,16.4389,-1.36535
Br1Rb1,13.43335,-1.767725
